[2025-05-09 21:35:29,309] [WARNING] No se encontraron pesos optimizados; usando lógica estándar.
[2025-05-09 21:35:30,653] [INFO] Worker lanzado: mhi1_maioria sobre EURUSD
[2025-05-09 21:35:30,686] [INFO] Worker lanzado: mhi1_minoria sobre EURUSD
[2025-05-09 21:35:30,695] [INFO] Worker lanzado: mhi2_maioria sobre EURUSD
[2025-05-09 21:35:30,703] [INFO] Worker lanzado: mhi2_minoria sobre EURUSD
[2025-05-09 21:35:30,711] [INFO] Worker lanzado: mhi3_maioria sobre EURUSD
[2025-05-09 21:35:30,719] [INFO] Worker lanzado: mhi3_minoria sobre EURUSD
[2025-05-09 21:35:30,727] [INFO] Worker lanzado: milhao_maioria sobre EURUSD
[2025-05-09 21:35:30,752] [INFO] Worker lanzado: milhao_minoria sobre EURUSD
[2025-05-09 21:35:30,761] [INFO] Worker lanzado: padrao_impar sobre EURUSD
[2025-05-09 21:35:30,769] [INFO] Worker lanzado: melhor_de_3 sobre EURUSD
[2025-05-09 21:35:30,777] [INFO] Worker lanzado: padrao_23 sobre EURUSD
[2025-05-09 21:35:30,794] [INFO] Worker lanzado: turno_over sobre EURUSD
[2025-05-09 21:35:30,802] [INFO] Worker lanzado: seven_flip sobre EURUSD
[2025-05-09 21:35:30,818] [INFO] Worker lanzado: gaba sobre EURUSD
[2025-05-09 21:35:30,818] [INFO] Worker lanzado: five_flip sobre EURUSD
[2025-05-09 21:35:30,828] [INFO] Worker lanzado: reversao sobre EURUSD
[2025-05-09 21:35:30,834] [INFO] Worker lanzado: tres_vizinhos sobre EURUSD
[2025-05-09 21:35:30,879] [INFO] Worker lanzado: torres_gemeas sobre EURUSD
[2025-05-09 21:35:30,883] [INFO] Worker lanzado: tres_mosqueteiros sobre EURUSD
[2025-05-09 21:35:30,883] [INFO] Worker lanzado: mhi1_maioria sobre USDJPY-OTC
[2025-05-09 21:35:30,883] [INFO] Worker lanzado: mhi1_minoria sobre USDJPY-OTC
[2025-05-09 21:35:30,891] [INFO] Worker lanzado: mhi2_maioria sobre USDJPY-OTC
[2025-05-09 21:35:30,893] [INFO] Worker lanzado: mhi2_minoria sobre USDJPY-OTC
[2025-05-09 21:35:30,893] [INFO] Worker lanzado: mhi3_maioria sobre USDJPY-OTC
[2025-05-09 21:35:30,899] [INFO] Worker lanzado: mhi3_minoria sobre USDJPY-OTC
[2025-05-09 21:35:30,899] [INFO] Worker lanzado: milhao_maioria sobre USDJPY-OTC
[2025-05-09 21:35:30,899] [INFO] Worker lanzado: milhao_minoria sobre USDJPY-OTC
[2025-05-09 21:35:30,899] [INFO] Worker lanzado: padrao_impar sobre USDJPY-OTC
[2025-05-09 21:35:30,916] [INFO] Worker lanzado: melhor_de_3 sobre USDJPY-OTC
[2025-05-09 21:35:30,916] [INFO] Worker lanzado: padrao_23 sobre USDJPY-OTC
